,Date,Close/Last,Volume,Open,High,Low
109,2021-08-24,149.62,48606430,149.45,150.86,149.15
110,2021-08-23,149.71,60131810,148.31,150.19,147.89
111,2021-08-20,148.19,60549630,147.44,148.5,146.78
112,2021-08-19,146.7,86960310,145.03,148.0,144.5
113,2021-08-18,146.36,86325990,149.8,150.72,146.15
114,2021-08-17,150.19,92229740,150.23,151.68,149.09
115,2021-08-16,151.12,103558800,148.535,151.19,146.47
116,2021-08-13,149.1,59375010,148.97,149.4444,148.27
117,2021-08-12,148.89,73779110,146.19,149.05,145.84
118,2021-08-11,145.86,48493460,146.05,146.72,145.53
119,2021-08-10,145.6,69023080,146.44,147.71,145.3
120,2021-08-09,146.09,48908690,146.2,146.7,145.52
121,2021-08-06,146.14,54126810,146.35,147.11,145.63
122,2021-08-05,147.06,46397670,146.98,147.84,146.17
123,2021-08-04,146.95,56368270,147.27,147.79,146.28
124,2021-08-03,147.36,64786620,145.81,148.045,145.18
125,2021-08-02,145.52,62879960,146.36,146.95,145.25
126,2021-07-30,145.86,70440630,144.38,146.33,144.11
127,2021-07-29,145.64,56699480,144.685,146.55,144.58
128,2021-07-28,144.98,118931200,144.81,146.97,142.54
129,2021-07-27,146.77,104818600,149.12,149.21,145.55
130,2021-07-26,148.99,72434090,148.27,149.83,147.7
131,2021-07-23,148.56,71447420,147.55,148.7177,146.92
132,2021-07-22,146.8,77338160,145.935,148.195,145.81
133,2021-07-21,145.4,74993460,145.53,146.13,144.63
134,2021-07-20,146.15,96350040,143.46,147.0997,142.96
135,2021-07-19,142.45,121434600,143.75,144.07,141.67
136,2021-07-16,146.39,93251430,148.46,149.76,145.88
137,2021-07-15,148.48,106820300,149.24,150.0,147.09
138,2021-07-14,149.15,127050800,148.1,149.57,147.68
139,2021-07-13,145.64,100827100,144.03,147.46,143.63
140,2021-07-12,144.5,76299720,146.21,146.32,144.0
141,2021-07-09,145.11,99890800,142.75,145.65,142.6522
142,2021-07-08,143.24,105575500,141.58,144.06,140.665
143,2021-07-07,144.57,104911600,143.535,144.89,142.66
144,2021-07-06,142.02,108181800,140.07,143.15,140.07
145,2021-07-02,139.96,78945570,137.9,140.0,137.745
146,2021-07-01,137.27,52485780,136.6,137.33,135.76
147,2021-06-30,136.96,63261390,136.17,137.41,135.87
148,2021-06-29,136.33,64556080,134.8,136.49,134.35
149,2021-06-28,134.78,62111300,133.41,135.245,133.35
150,2021-06-25,133.11,70783750,133.46,133.89,132.81
151,2021-06-24,133.41,68711000,134.45,134.64,132.93
152,2021-06-23,133.7,60214200,133.77,134.32,133.23
153,2021-06-22,133.98,74783620,132.13,134.08,131.62
154,2021-06-21,132.3,79663320,130.3,132.41,129.21
155,2021-06-18,130.46,108953300,130.71,131.51,130.24
156,2021-06-17,131.79,96721670,129.8,132.55,129.65
157,2021-06-16,130.15,91815030,130.37,130.89,128.461
158,2021-06-15,129.64,62746330,129.94,130.6,129.39
159,2021-06-14,130.48,96906490,127.82,130.54,127.07
160,2021-06-11,127.35,53522370,126.53,127.44,126.1
161,2021-06-10,126.11,71186420,127.02,128.19,125.94
162,2021-06-09,127.13,56877940,127.21,127.75,126.52
163,2021-06-08,126.74,74403770,126.6,128.46,126.2101
164,2021-06-07,125.9,71057550,126.17,126.32,124.8321
165,2021-06-04,125.89,75169340,124.07,126.16,123.85
166,2021-06-03,123.54,76229170,124.68,124.85,123.13
167,2021-06-02,125.06,59278860,124.28,125.24,124.05
168,2021-06-01,124.28,67637120,125.08,125.35,123.94
169,2021-05-28,124.61,71311110,125.57,125.8,124.55
170,2021-05-27,125.28,94625600,126.44,127.64,125.08
171,2021-05-26,126.85,56575920,126.955,127.39,126.42
172,2021-05-25,126.9,72009480,127.82,128.32,126.32
173,2021-05-24,127.1,63092950,126.01,127.94,125.94
174,2021-05-21,125.43,79295440,127.82,128.0,125.21
175,2021-05-20,127.31,76857120,125.23,127.72,125.1
176,2021-05-19,124.69,92611990,123.16,124.915,122.86
177,2021-05-18,124.85,63342930,126.56,126.99,124.78
178,2021-05-17,126.27,74116550,126.82,126.93,125.17
179,2021-05-14,127.45,81917950,126.25,127.89,125.85
180,2021-05-13,124.97,105861300,124.58,126.15,124.26
181,2021-05-12,122.77,112172300,123.4,124.64,122.25
182,2021-05-11,125.91,126142800,123.5,126.27,122.77
183,2021-05-10,126.85,88071230,129.41,129.54,126.81
184,2021-05-07,130.21,78973270,130.85,131.2582,129.475
185,2021-05-06,129.74,78128330,127.89,129.75,127.13
186,2021-05-05,128.1,84000900,129.2,130.45,127.97
187,2021-05-04,127.85,137564700,131.19,131.4899,126.7
188,2021-05-03,132.54,75135100,132.04,134.07,131.83
189,2021-04-30,131.46,109839500,131.78,133.56,131.065
190,2021-04-29,133.48,151101000,136.47,137.07,132.45
191,2021-04-28,133.58,107760100,134.31,135.02,133.08
192,2021-04-27,134.39,66015800,135.01,135.41,134.11
193,2021-04-26,134.72,66905070,134.83,135.06,133.56
194,2021-04-23,134.32,78756780,132.16,135.12,132.16
195,2021-04-22,131.94,84566460,133.04,134.15,131.41
196,2021-04-21,133.5,68847140,132.36,133.75,131.3001
197,2021-04-20,133.11,94812350,135.02,135.53,131.81
198,2021-04-19,134.84,94264220,133.51,135.47,133.34
199,2021-04-16,134.16,84922390,134.3,134.67,133.28
200,2021-04-15,134.5,89347100,133.82,135.0,133.64
201,2021-04-14,132.03,87222780,134.94,135.0,131.655
202,2021-04-13,134.43,91266550,132.44,134.66,131.93
203,2021-04-12,131.24,91419980,132.52,132.85,130.63
204,2021-04-09,132.995,106686700,129.8,133.04,129.47
205,2021-04-08,130.36,88844590,128.95,130.39,128.52
206,2021-04-07,127.9,83466720,125.83,127.92,125.14
207,2021-04-06,126.21,80171250,126.5,127.13,125.65
208,2021-04-05,125.9,88651180,123.87,126.1601,123.07
209,2021-04-01,123.0,75089130,123.66,124.18,122.49
210,2021-03-31,122.15,118323800,121.65,123.52,121.15
211,2021-03-30,119.9,85671920,120.11,120.4031,118.86
212,2021-03-29,121.39,80819200,121.65,122.58,120.7299
213,2021-03-26,121.21,94071230,120.35,121.48,118.92
214,2021-03-25,120.59,98844680,119.54,121.66,119.0
215,2021-03-24,120.09,88530490,122.82,122.9,120.065
216,2021-03-23,122.54,95467140,123.33,124.24,122.14
217,2021-03-22,123.39,111912300,120.33,123.87,120.26
218,2021-03-19,119.99,185549500,119.9,121.43,119.675
219,2021-03-18,120.53,121469800,122.88,123.18,120.32
220,2021-03-17,124.76,111932600,124.05,125.8599,122.336
221,2021-03-16,125.57,115227900,125.7,127.22,124.715
222,2021-03-15,123.99,92590560,121.41,124.0,120.42
223,2021-03-12,121.03,88105050,120.4,121.17,119.16
224,2021-03-11,121.96,103026500,122.54,123.21,121.26
225,2021-03-10,119.98,111943300,121.69,122.17,119.45
226,2021-03-09,121.085,129525800,119.03,122.06,118.79
227,2021-03-08,116.36,154376600,120.93,121.0,116.21
228,2021-03-05,121.42,153766600,120.98,121.935,117.57
229,2021-03-04,120.13,178155000,121.75,123.6,118.62
230,2021-03-03,122.06,112966300,124.81,125.71,121.84
231,2021-03-02,125.12,102260900,128.41,128.72,125.01
232,2021-03-01,127.79,116307900,123.75,127.93,122.79
233,2021-02-26,121.26,164560400,122.59,124.85,121.2
